factors,score_col,ic_hit_limit_3,ic_fwd_ret_3,ic_trailing_10,chasing_score,hit@20,fwd3@20,winrate@20
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.5, 'technical': 0.5, 'pullback_from_peak': 0.25}",combo_shortterm=1.00_limit_up_gene_composite=0.50_technical=0.50_pullback_from_peak=0.25,0.21109313417942785,0.03767624183335383,0.5291263228614178,0.491450081028064,0.5,0.02992120552075383,0.5
"{'shortterm': 0.75, 'limit_up_gene_composite': 0.25, 'technical': 0.5, 'pullback_from_peak': 0.25}",combo_shortterm=0.75_limit_up_gene_composite=0.25_technical=0.50_pullback_from_peak=0.25,0.2110448299260081,0.05141220156747139,0.5425441328003369,0.49113193123286547,0.42105263157894735,0.02207940922509082,0.5
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.25, 'technical': 0.5, 'pullback_from_peak': 0.25}",combo_shortterm=1.00_limit_up_gene_composite=0.25_technical=0.50_pullback_from_peak=0.25,0.2110140014861738,0.04593495536331828,0.5332936396456628,0.4873586842823445,0.4,0.014526930582893071,0.5
"{'shortterm': 0.75, 'limit_up_gene_composite': 0.25, 'technical': 0.25, 'pullback_from_peak': 0.25}",combo_shortterm=0.75_limit_up_gene_composite=0.25_technical=0.25_pullback_from_peak=0.25,0.2106791523729445,0.04235701595343379,0.4882279825431615,0.44587096658972775,0.47368421052631576,0.01901037804453218,0.5
"{'shortterm': 0.75, 'limit_up_gene_composite': 0.5, 'technical': 0.5, 'pullback_from_peak': 0.25}",combo_shortterm=0.75_limit_up_gene_composite=0.50_technical=0.50_pullback_from_peak=0.25,0.2105476822695641,0.0407547527631416,0.5403264406039764,0.4995716878408348,0.47058823529411764,0.018109964915345216,0.45
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.75, 'technical': 0.75, 'pullback_from_peak': 0.5}",combo_shortterm=1.00_limit_up_gene_composite=0.75_technical=0.75_pullback_from_peak=0.50,0.21049961748975077,0.04724956194125534,0.5266809761586625,0.47943141421740715,0.4117647058823529,0.02459167504655218,0.5
"{'shortterm': 0.75, 'limit_up_gene_composite': 0.75, 'technical': 0.75, 'pullback_from_peak': 0.5}",combo_shortterm=0.75_limit_up_gene_composite=0.75_technical=0.75_pullback_from_peak=0.50,0.21019780466110183,0.05187238756306923,0.5280242573323275,0.4761518697692583,0.3125,0.02093751185261951,0.4
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.5, 'technical': 0.5, 'pullback_from_peak': 0.5}",combo_shortterm=1.00_limit_up_gene_composite=0.50_technical=0.50_pullback_from_peak=0.50,0.21004642967969936,0.05060314151350297,0.48756942552915,0.436966284015647,0.4444444444444444,0.019471578818139886,0.45
"{'shortterm': 0.5, 'limit_up_gene_composite': 0.25, 'technical': 0.25, 'pullback_from_peak': 0.25}",combo_shortterm=0.50_limit_up_gene_composite=0.25_technical=0.25_pullback_from_peak=0.25,0.21004642967969936,0.05060314151350297,0.48756942552915,0.436966284015647,0.4444444444444444,0.019471578818139886,0.45
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.75, 'technical': 1.0, 'pullback_from_peak': 0.5}",combo_shortterm=1.00_limit_up_gene_composite=0.75_technical=1.00_pullback_from_peak=0.50,0.2100164503443111,0.05279070923331395,0.5517649880648331,0.4989742788315191,0.3888888888888889,0.015117754171946805,0.45
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.5, 'technical': 0.75, 'pullback_from_peak': 0.5}",combo_shortterm=1.00_limit_up_gene_composite=0.50_technical=0.75_pullback_from_peak=0.50,0.20987427702538042,0.05415693829024765,0.5237665036492978,0.46960956535905013,0.3888888888888889,0.010710727166789757,0.45
"{'shortterm': 0.75, 'limit_up_gene_composite': 0.5, 'technical': 0.75, 'pullback_from_peak': 0.25}",combo_shortterm=0.75_limit_up_gene_composite=0.50_technical=0.75_pullback_from_peak=0.25,0.20975742051614635,0.047754226749881175,0.5719446546188486,0.5241904278689674,0.35294117647058826,0.01425633354900811,0.4
"{'shortterm': 1.0, 'limit_up_gene_composite': 1.0, 'technical': 0.75, 'pullback_from_peak': 0.5}",combo_shortterm=1.00_limit_up_gene_composite=1.00_technical=0.75_pullback_from_peak=0.50,0.2096851139575312,0.04356820403634068,0.5251301437238742,0.4815619396875336,0.3333333333333333,-0.0025685276118546396,0.35
"{'shortterm': 1.0, 'limit_up_gene_composite': 0.25, 'technical': 0.25, 'pullback_from_peak': 0.25}",combo_shortterm=1.00_limit_up_gene_composite=0.25_technical=0.25_pullback_from_peak=0.25,0.20962914897950435,0.03833424672267809,0.4832293877696092,0.4448951410469311,0.45,0.017886666371221233,0.5
